radio,mcc,lon,lat,range,averageSignal,radius
GSM,216,19.0192,47.4697,586,0,586.0
GSM,216,19.0431,47.4917,780,0,780.0
GSM,216,19.0532,47.4833,847,0,847.0
GSM,216,19.0276,47.4999,531,0,531.0
GSM,216,19.0382,47.5071,2578,0,1000.0
GSM,216,19.0432,47.4958,1500,0,1000.0
GSM,216,19.0248,47.502,857,0,857.0
GSM,216,19.0279,47.4993,1027,0,1000.0
GSM,216,19.0292,47.5003,997,0,997.0
GSM,216,19.0303,47.4818,967,0,967.0
GSM,216,19.0149,47.403,1854,0,1000.0
GSM,216,19.0084,47.3914,2813,0,1000.0
GSM,216,19.1896,47.3577,10857,0,1000.0
GSM,216,18.9939,47.4502,1707,0,1000.0
GSM,216,19.024,47.4882,649,0,649.0
GSM,216,19.0269,47.4821,782,0,782.0
GSM,216,19.0534,47.5338,2721,0,1000.0
GSM,216,19.0518,47.4944,950,0,950.0
GSM,216,19.0499,47.5218,957,0,957.0
GSM,216,19.0437,47.5153,756,0,756.0
GSM,216,19.0599,47.5358,821,0,821.0
GSM,216,19.0906,47.6077,5929,0,1000.0
GSM,216,19.0721,47.5562,1772,0,1000.0
GSM,216,19.0438,47.5341,1480,0,1000.0
GSM,216,19.0389,47.5293,841,0,841.0
GSM,216,19.0608,47.5334,946,0,946.0
GSM,216,19.061,47.5364,1093,0,1000.0
GSM,216,19.0368,47.5311,977,0,977.0
GSM,216,19.0427,47.5316,971,0,971.0
GSM,216,19.041,47.5212,1009,0,1000.0
GSM,216,19.0366,47.5272,1000,0,1000.0
GSM,216,19.042,47.5303,1273,0,1000.0
GSM,216,19.0375,47.5334,1284,0,1000.0
GSM,216,19.0276,47.5204,5719,0,1000.0
GSM,216,19.0332,47.5276,1395,0,1000.0
GSM,216,19.0421,47.5174,5428,0,1000.0
GSM,216,19.0411,47.5119,880,0,880.0
GSM,216,19.0386,47.5055,817,0,817.0
GSM,216,19.0648,47.4569,2490,0,1000.0
GSM,216,18.9809,47.4568,1743,0,1000.0
GSM,216,18.9767,47.4567,2987,0,1000.0
GSM,216,19.0988,47.6061,1927,0,1000.0
GSM,216,19.1047,47.6074,777,0,777.0
GSM,216,18.9987,47.4608,1241,0,1000.0
GSM,216,19.0528,47.4752,7033,0,1000.0
GSM,216,19.0603,47.4756,7422,0,1000.0
GSM,216,19.0588,47.4798,7039,0,1000.0
GSM,216,19.0157,47.3883,1917,0,1000.0
GSM,216,19.1666,47.3646,4131,0,1000.0
GSM,216,19.028,47.3824,1118,0,1000.0
GSM,216,19.0566,47.4922,777,0,777.0
GSM,216,18.9854,47.3937,2183,0,1000.0
GSM,216,19.3488,47.4045,3201,0,1000.0
GSM,216,19.1245,47.5512,2670,0,1000.0
GSM,216,19.0686,47.6403,2713,0,1000.0
GSM,216,19.0716,47.6203,4430,0,1000.0
GSM,216,19.0684,47.6062,1628,0,1000.0
GSM,216,19.0225,47.5603,3700,0,1000.0
GSM,216,19.0484,47.5637,925,0,925.0
GSM,216,18.8862,47.4194,2149,0,1000.0
GSM,216,18.8791,47.414,2830,0,1000.0
GSM,216,18.9133,47.4463,3124,0,1000.0
GSM,216,19.0134,47.5099,882,0,882.0
GSM,216,18.8758,47.6172,3370,0,1000.0
GSM,216,18.9116,47.5764,5554,0,1000.0
GSM,216,18.8935,47.6229,2057,0,1000.0
GSM,216,19.2796,47.6038,3304,0,1000.0
GSM,216,19.0044,47.5188,1040,0,1000.0
GSM,216,19.0367,47.5286,4521,0,1000.0
GSM,216,19.0213,47.5307,968,0,968.0
GSM,216,18.9993,47.5172,1708,0,1000.0
GSM,216,18.9839,47.5226,1387,0,1000.0
GSM,216,18.9915,47.5259,904,0,904.0
GSM,216,18.9989,47.5167,507,0,507.0
GSM,216,19.1003,47.5472,1563,0,1000.0
GSM,216,19.0797,47.5446,801,0,801.0
GSM,216,19.083,47.5376,792,0,792.0
GSM,216,19.0837,47.5373,672,0,672.0
GSM,216,19.0788,47.5269,1090,0,1000.0
GSM,216,19.0677,47.5208,637,0,637.0
GSM,216,19.0686,47.5222,886,0,886.0
GSM,216,19.0655,47.5196,666,0,666.0
GSM,216,18.8861,47.5884,7891,0,1000.0
GSM,216,19.1223,47.5498,1352,0,1000.0
GSM,216,18.9077,47.4479,2128,0,1000.0
GSM,216,19.0051,47.4542,28500,0,1000.0
GSM,216,19.0516,47.5132,966,0,966.0
GSM,216,19.045,47.5098,651,0,651.0
GSM,216,19.0007,47.5219,1257,0,1000.0
GSM,216,18.9965,47.5259,2193,0,1000.0
GSM,216,18.9855,47.5265,1983,0,1000.0
GSM,216,19.0087,47.5243,4022,0,1000.0
GSM,216,19.0083,47.5291,1083,0,1000.0
GSM,216,19.0608,47.536,1590,0,1000.0
GSM,216,18.9409,47.5352,1341,0,1000.0
GSM,216,18.9389,47.5395,3847,0,1000.0
GSM,216,19.0526,47.5378,1000,0,1000.0
GSM,216,19.0404,47.5013,1169,0,1000.0
GSM,216,19.0362,47.5052,6167,0,1000.0
GSM,216,19.0483,47.5148,1081,0,1000.0
GSM,216,18.9888,47.5269,1672,0,1000.0
GSM,216,19.121,47.55,4059,0,1000.0
GSM,216,19.1209,47.5962,2655,0,1000.0
GSM,216,18.9455,47.5172,2388,0,1000.0
GSM,216,18.9381,47.5261,1461,0,1000.0
GSM,216,19.1278,47.4279,716,0,716.0
GSM,216,18.966,47.5293,2538,0,1000.0
GSM,216,19.0056,47.5175,721,0,721.0
GSM,216,19.0068,47.519,680,0,680.0
GSM,216,18.9827,47.5308,1465,0,1000.0
GSM,216,18.9737,47.5248,2808,0,1000.0
GSM,216,18.943,47.5333,2998,0,1000.0
GSM,216,18.9937,47.5222,1473,0,1000.0
GSM,216,18.9833,47.5328,1587,0,1000.0
GSM,216,18.943,47.5188,2611,0,1000.0
GSM,216,18.9435,47.4985,2842,0,1000.0
GSM,216,19.1402,47.4317,3266,0,1000.0
GSM,216,19.0553,47.5289,924,0,924.0
GSM,216,19.0778,47.5262,1078,0,1000.0
GSM,216,19.0277,47.4958,6459,0,1000.0
GSM,216,19.0225,47.4993,1426,0,1000.0
GSM,216,19.0167,47.5094,5211,0,1000.0
GSM,216,19.0448,47.4774,661,0,661.0
GSM,216,19.0697,47.4879,779,0,779.0
GSM,216,19.0694,47.491,742,0,742.0
GSM,216,19.059,47.4889,1496,0,1000.0
GSM,216,19.0592,47.4916,718,0,718.0
GSM,216,19.0551,47.4938,1164,0,1000.0
GSM,216,19.0606,47.5029,6012,0,1000.0
GSM,216,19.0549,47.4984,681,0,681.0
GSM,216,19.0565,47.5035,5941,0,1000.0
GSM,216,19.0571,47.5024,6233,0,1000.0
GSM,216,19.0496,47.4711,762,0,762.0
GSM,216,19.1125,47.5422,1862,0,1000.0
GSM,216,19.1097,47.5403,842,0,842.0
GSM,216,19.087,47.5389,2415,0,1000.0
GSM,216,19.053,47.5377,1044,0,1000.0
GSM,216,19.0315,47.5284,743,0,743.0
GSM,216,19.0282,47.5289,874,0,874.0
GSM,216,18.9964,47.5269,1175,0,1000.0
GSM,216,19.0553,47.5218,1822,0,1000.0
GSM,216,18.9598,47.5614,5276,0,1000.0
GSM,216,18.9543,47.5448,2742,0,1000.0
GSM,216,18.9545,47.5422,2641,0,1000.0
GSM,216,18.9397,47.539,3990,0,1000.0
GSM,216,18.9443,47.5377,3734,0,1000.0
GSM,216,18.9585,47.5398,1606,0,1000.0
GSM,216,18.9658,47.536,1019,0,1000.0
GSM,216,18.9817,47.526,1060,0,1000.0
GSM,216,19.0097,47.5101,675,0,675.0
GSM,216,19.0155,47.5089,1098,0,1000.0
GSM,216,19.0163,47.5072,798,0,798.0
GSM,216,19.0178,47.5082,1074,0,1000.0
GSM,216,19.0582,47.4951,762,0,762.0
GSM,216,19.0643,47.4892,778,0,778.0
GSM,216,19.0699,47.4843,1310,0,1000.0
GSM,216,19.1214,47.4474,1210,0,1000.0
GSM,216,19.0287,47.4742,756,0,756.0
GSM,216,19.0441,47.499,824,0,824.0
GSM,216,19.0561,47.4964,607,0,607.0
GSM,216,19.0726,47.529,989,0,989.0
GSM,216,19.0756,47.5293,658,0,658.0
GSM,216,19.0816,47.5252,1282,0,1000.0
GSM,216,19.0821,47.5247,1172,0,1000.0
GSM,216,19.0816,47.5227,1883,0,1000.0
GSM,216,19.0901,47.5178,1058,0,1000.0
GSM,216,19.0718,47.5152,6861,0,1000.0
GSM,216,19.0518,47.3797,1115,0,1000.0
GSM,216,19.3288,47.5006,11998,0,1000.0
GSM,216,19.3281,47.4725,1332,0,1000.0
GSM,216,19.2899,47.5225,2482,0,1000.0
GSM,216,18.945,47.5815,6567,0,1000.0
GSM,216,18.9556,47.5526,1854,0,1000.0
GSM,216,19.1274,47.4464,985,0,985.0
GSM,216,18.8925,47.4289,1532,0,1000.0
GSM,216,18.9153,47.4462,9140,0,1000.0
GSM,216,18.9486,47.4528,938,0,938.0
GSM,216,18.9985,47.472,1497,0,1000.0
GSM,216,18.9844,47.4558,4481,0,1000.0
GSM,216,18.9602,47.5976,3724,0,1000.0
GSM,216,19.1341,47.4481,957,0,957.0
GSM,216,19.2579,47.5232,3294,0,1000.0
GSM,216,19.155,47.5754,881,0,881.0
GSM,216,19.1342,47.6007,1596,0,1000.0
GSM,216,19.1655,47.6192,2054,0,1000.0
GSM,216,19.1646,47.6461,2569,0,1000.0
GSM,216,19.1458,47.6072,2957,0,1000.0
GSM,216,19.2016,47.5467,3300,0,1000.0
GSM,216,18.8646,47.3994,2427,0,1000.0
GSM,216,19.1291,47.4476,1395,0,1000.0
GSM,216,19.089,47.5199,991,0,991.0
GSM,216,19.0975,47.4401,852,0,852.0
GSM,216,19.094,47.4413,1039,0,1000.0
GSM,216,19.1552,47.5807,1428,0,1000.0
GSM,216,19.2225,47.5976,5565,0,1000.0
GSM,216,19.0578,47.6019,1230,0,1000.0
GSM,216,19.0578,47.5959,1709,0,1000.0
GSM,216,19.0474,47.5829,1732,0,1000.0
GSM,216,19.0482,47.5776,6132,0,1000.0
GSM,216,19.0475,47.555,758,0,758.0
GSM,216,19.0462,47.5497,1334,0,1000.0
GSM,216,19.0436,47.5685,2337,0,1000.0
GSM,216,19.0518,47.5809,1374,0,1000.0
GSM,216,19.0501,47.5864,1517,0,1000.0
GSM,216,19.0833,47.6099,1377,0,1000.0
GSM,216,19.1611,47.4636,3144,0,1000.0
GSM,216,19.1315,47.4656,1074,0,1000.0
GSM,216,19.1293,47.4652,2474,0,1000.0
GSM,216,18.9498,47.4533,1115,0,1000.0
GSM,216,19.0546,47.595,1594,0,1000.0
GSM,216,19.0637,47.5904,1075,0,1000.0
GSM,216,19.1185,47.4496,1486,0,1000.0
GSM,216,19.0755,47.5513,1646,0,1000.0
GSM,216,19.0839,47.51,668,0,668.0
GSM,216,19.0817,47.5075,698,0,698.0
GSM,216,19.0612,47.4893,500,0,500.0
GSM,216,19.0606,47.4882,1009,0,1000.0
GSM,216,18.984,47.5289,1545,0,1000.0
GSM,216,19.1508,47.4622,2165,0,1000.0
GSM,216,19.1427,47.4658,1047,0,1000.0
GSM,216,19.1344,47.5621,3349,0,1000.0
GSM,216,19.0466,47.4955,9015,0,1000.0
GSM,216,18.893,47.4293,1880,0,1000.0
GSM,216,19.0144,47.5089,866,0,866.0
GSM,216,18.9782,47.5307,1984,0,1000.0
GSM,216,19.0729,47.4887,500,0,500.0
GSM,216,18.8672,47.4644,8426,0,1000.0
GSM,216,18.8848,47.4519,2113,0,1000.0
GSM,216,19.0252,47.4935,742,0,742.0
GSM,216,19.0342,47.492,1311,0,1000.0
GSM,216,19.023,47.4887,656,0,656.0
GSM,216,19.113,47.5416,1663,0,1000.0
GSM,216,19.1018,47.5326,745,0,745.0
GSM,216,19.1128,47.5426,1726,0,1000.0
GSM,216,19.1311,47.5563,1336,0,1000.0
GSM,216,19.1131,47.5433,2304,0,1000.0
GSM,216,19.1273,47.5534,863,0,863.0
GSM,216,19.144,47.5652,1554,0,1000.0
GSM,216,19.0952,47.5245,1063,0,1000.0
GSM,216,19.0947,47.5231,1685,0,1000.0
